momentum_group,weeks,stock_observations,average_advantage_pp,ci_low_pp,ci_high_pp,t_statistic,p_value
5% to 10%,1067,26473,-1.369359585507958,-2.553282762493562,-0.18543640852235424,-2.26952752680262,0.023435356541422793
>= 10%,903,8476,-1.3767869760135143,-3.442168252763139,0.6885943007361105,-1.3082711002219412,0.19111464910166787
