momentum_bucket,average_advantage,weeks,observations,advantage_pp
< 0%,0.004493351217778466,1094,142589,0.44933512177784657
0% to 1%,0.010010132266873766,1091,37810,1.0010132266873766
1% to 3%,-0.002740002031760542,1094,61725,-0.2740002031760542
3% to 5%,-0.00311410456538183,1080,33402,-0.311410456538183
5% to 10%,-0.013693595855079581,1067,26473,-1.369359585507958
>= 10%,-0.013767869760135141,903,8476,-1.376786976013514
